rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
81	RPS5	ribosomal protein S5	636	186	0	0	3	0	0	0	3	3	3	1.373391e-03	1	2.580000e-01	1.042469e-02	1
82	HOMER2	homer homolog 2 (Drosophila)	1097	30	0	0	2	0	0	0	2	2	2	6.990801e-03	1	1.120000e-01	1.067953e-02	1
83	NPAS3	neuronal PAS domain protein 3	2903	3	0	0	0	1	0	1	2	2	2	1.068257e-02	NaN	NaN	1.068257e-02	1
84	FAM78B	family with sequence similarity 78, member B	790	14	0	0	1	1	0	0	2	2	2	1.434224e-03	1	8.990000e-01	1.082427e-02	1
85	CNTN2	contactin 2 (axonal)	3211	6	0	0	4	0	1	1	6	6	6	1.445877e-03	1	8.930000e-01	1.090052e-02	1
86	KIF3C	kinesin family member 3C	2410	16	0	0	1	0	1	0	2	2	2	1.455713e-03	1	6.150000e-01	1.096481e-02	1
87	MAMDC4	MAM domain containing 4	3529	4	0	0	1	1	0	1	3	3	3	2.193342e-02	1	5.300000e-02	1.105506e-02	1
88	ELANE	elastase, neutrophil expressed	824	8	0	0	0	0	1	0	1	1	1	1.125165e-02	NaN	NaN	1.125165e-02	1
89	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	920	2	0	0	0	0	0	1	1	1	1	1.127202e-02	NaN	NaN	1.127202e-02	1
90	BRD2	bromodomain containing 2	2450	101	0	0	2	0	0	1	3	3	3	9.927400e-03	1	1.160000e-01	1.131170e-02	1
91	PTPN14	protein tyrosine phosphatase, non-receptor type 14	3632	13	0	0	1	2	0	0	3	3	3	1.549284e-03	1	8.030000e-01	1.157309e-02	1
92	SP2	Sp2 transcription factor	1866	16	0	0	4	0	0	0	4	4	4	2.372235e-03	1	6.460000e-01	1.174032e-02	1
93	BLVRA	biliverdin reductase A	921	3	0	0	0	1	0	0	1	1	1	1.179071e-02	NaN	NaN	1.179071e-02	1
94	KRTAP4-9	keratin associated protein 4-9	633	1	0	1	6	0	0	0	6	6	3	7.511101e-01	1.100000e-03	9.998000e-01	1.199617e-02	1
95	COMTD1	catechol-O-methyltransferase domain containing 1	817	12	0	0	0	0	1	0	1	1	1	1.210371e-02	NaN	NaN	1.210371e-02	1
96	CD300C	CD300c molecule	687	20	0	0	2	0	0	0	2	2	2	1.835855e-02	1	8.700000e-02	1.211836e-02	1
97	TECTA	tectorin alpha	6554	4	0	0	0	2	0	0	2	2	2	3.707519e-03	1	3.080000e-01	1.233920e-02	1
98	OSBPL9	oxysterol binding protein-like 9	2407	11	0	0	2	0	0	1	3	3	3	7.473280e-03	1	1.060000e-01	1.261366e-02	1
99	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	1482	7	0	2	3	0	0	0	3	3	2	2.775679e-01	5.800000e-03	6.012000e-01	1.267440e-02	1
100	CASZ1	castor zinc finger 1	5354	7	0	0	4	0	0	0	4	4	3	1.814275e-01	9.700000e-03	1	1.292173e-02	1
101	IRF6	interferon regulatory factor 6	1432	17	0	0	0	1	0	0	1	1	1	1.300586e-02	NaN	NaN	1.300586e-02	1
102	TACC2	transforming, acidic coiled-coil containing protein 2	9005	13	0	1	4	1	1	1	7	7	7	1.809032e-03	1	9.130000e-01	1.323300e-02	1
103	IGFL1	IGF-like family member 1	347	21	0	0	1	0	0	0	1	1	1	1.338417e-02	NaN	NaN	1.338417e-02	1
104	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	1610	5	0	0	3	0	1	0	4	4	4	1.848153e-03	1	9.130000e-01	1.347963e-02	1
105	GOLGA6L10	golgin A6 family-like 10	2938	0	0	5	11	0	0	0	11	11	7	9.999947e-01	6.333333e-04	9.405333e-01	1.359599e-02	1
106	SP100	SP100 nuclear antigen	3318	17	0	1	0	0	1	1	2	2	2	1.593781e-02	1	1.080000e-01	1.368394e-02	1
107	TNS1	tensin 1	5320	48	0	1	3	1	0	0	4	4	4	1.919946e-03	1	5.170000e-01	1.393009e-02	1
108	DLX4	distal-less homeobox 4	796	16	0	0	2	0	0	0	2	2	2	1.997098e-02	1	7.100000e-02	1.403785e-02	1
109	FAM53B	family with sequence similarity 53, member B	1281	33	0	0	2	0	0	0	2	2	2	2.502071e-02	1	4.600000e-02	1.428388e-02	1
110	TP73	tumor protein p73	2004	68	0	0	1	0	0	1	2	2	2	5.092659e-02	1	2.300000e-02	1.434302e-02	1
111	ENY2	enhancer of yellow 2 homolog (Drosophila)	442	2	0	0	0	0	0	1	1	1	1	1.453075e-02	NaN	NaN	1.453075e-02	1
112	IRX1	iroquois homeobox 1	1457	23	0	0	4	0	0	0	4	4	3	5.047611e-02	4.000000e-02	9.950000e-01	1.454748e-02	1
113	CDKL3	cyclin-dependent kinase-like 3	1829	61	0	0	2	0	0	0	2	2	2	5.332051e-02	1	2.600000e-02	1.459174e-02	1
114	PDE4A	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	3168	2	0	0	3	2	0	0	5	4	5	1.908634e-02	1	8.900000e-02	1.480940e-02	1
115	LEFTY2	left-right determination factor 2	1113	37	0	0	0	1	0	1	2	2	2	9.432795e-03	1	1.010000e-01	1.495350e-02	1
116	PIGY	phosphatidylinositol glycan anchor biosynthesis, class Y	565	3	0	0	0	0	1	0	1	1	1	1.500856e-02	NaN	NaN	1.500856e-02	1
117	ZNF384	zinc finger protein 384	1770	6	0	0	2	1	0	0	3	3	3	5.597264e-03	1	3.400000e-01	1.514537e-02	1
118	ADM	adrenomedullin	570	20	0	0	1	0	0	0	1	1	1	1.524654e-02	NaN	NaN	1.524654e-02	1
119	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	2708	35	0	0	0	0	1	0	1	1	1	1.535729e-02	NaN	NaN	1.535729e-02	1
120	CCDC88B	coiled-coil domain containing 88B	4537	4	0	1	1	1	0	1	3	3	3	4.221807e-02	1	4.900000e-02	1.537509e-02	1
121	EPHA2	EPH receptor A2	2995	26	0	0	3	0	0	0	3	3	3	5.154827e-02	1	2.500000e-02	1.576382e-02	1
122	CERKL	ceramide kinase-like	1731	54	0	0	0	1	0	0	1	1	1	1.585196e-02	NaN	NaN	1.585196e-02	1
123	PFKM	phosphofructokinase, muscle	2656	6	0	0	0	1	0	0	1	1	1	1.637776e-02	NaN	NaN	1.637776e-02	1
124	NEIL2	nei like 2 (E. coli)	1020	16	0	0	2	0	0	0	2	2	2	1.024548e-01	1	1.000000e-02	1.642827e-02	1
125	TLX3	T-cell leukemia homeobox 3	886	19	0	0	2	1	0	1	4	3	4	2.351715e-03	1	3.790000e-01	1.658573e-02	1
126	IGSF22	immunoglobulin superfamily, member 22	4069	35	0	0	4	0	1	0	5	5	5	2.365941e-03	1	6.960000e-01	1.667179e-02	1
127	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	3115	17	0	0	0	1	1	1	3	3	3	2.386117e-03	1	4.720000e-01	1.679370e-02	1
128	BRIP1	BRCA1 interacting protein C-terminal helicase 1	3826	14	0	0	1	1	0	0	2	2	2	4.352076e-03	1	4.210000e-01	1.691788e-02	1
129	COL4A4	collagen, type IV, alpha 4	5260	18	0	0	3	0	0	0	3	3	3	2.618324e-02	1	7.300000e-02	1.693090e-02	1
130	TRIM50	tripartite motif-containing 50	1543	127	0	0	2	0	1	0	3	3	3	5.431299e-03	1	3.670000e-01	1.697954e-02	1
131	C20orf194	chromosome 20 open reading frame 194	3680	28	0	0	3	0	0	0	3	3	3	2.524774e-02	1	7.400000e-02	1.747582e-02	1
132	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2	2299	62	0	0	2	0	0	0	2	2	2	1.285303e-02	1	1.660000e-01	1.751664e-02	1
133	DNAH12	dynein, axonemal, heavy chain 12	9554	21	0	0	3	0	0	0	3	3	3	2.950462e-01	1	1.200000e-03	1.761424e-02	1
134	ZNF324	zinc finger protein 324	1674	44	0	0	2	0	0	0	2	2	2	2.696854e-02	1	5.600000e-02	1.801022e-02	1
135	SNX15	sorting nexin 15	1059	8	0	0	0	1	0	0	1	1	1	1.810960e-02	NaN	NaN	1.810960e-02	1
136	BRD7	bromodomain containing 7	2025	20	0	0	3	0	0	0	3	2	2	2.610431e-01	1.000000e-02	8.827000e-01	1.813790e-02	1
137	C19orf59	chromosome 19 open reading frame 59	590	59	0	0	0	1	0	0	1	1	1	1.813799e-02	NaN	NaN	1.813799e-02	1
138	C12orf71	chromosome 12 open reading frame 71	816	13	0	0	0	1	0	0	1	1	1	1.823190e-02	NaN	NaN	1.823190e-02	1
139	FCRL4	Fc receptor-like 4	1592	90	0	1	2	0	0	1	3	3	3	2.646693e-03	1	5.330000e-01	1.835334e-02	1
140	CPM	carboxypeptidase M	1364	31	0	0	2	0	0	0	2	2	2	2.116395e-02	1	9.800000e-02	1.847175e-02	1
141	SHD	Src homology 2 domain containing transforming protein D	1045	29	0	1	0	0	0	2	2	2	2	1.848216e-02	NaN	NaN	1.848216e-02	1
142	ALKBH7	alkB, alkylation repair homolog 7 (E. coli)	680	55	0	0	2	0	0	0	2	2	2	8.627119e-03	1	1.990000e-01	1.882381e-02	1
143	ZNF642	zinc finger protein 642	1601	85	0	0	2	0	0	0	2	2	2	2.365354e-02	1	4.600000e-02	1.948438e-02	1
144	COL23A1	collagen, type XXIII, alpha 1	1735	2	0	0	0	0	2	0	2	2	2	1.960585e-02	NaN	NaN	1.960585e-02	1
145	MEPE	matrix, extracellular phosphoglycoprotein with ASARM motif (bone)	1590	27	0	0	0	1	0	0	1	1	1	1.967438e-02	NaN	NaN	1.967438e-02	1
146	KIAA2018	KIAA2018	6758	6	0	0	1	0	0	1	2	2	2	6.035642e-02	1	2.200000e-02	1.982793e-02	1
147	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	1	0	0	2	1	0	2	5	5	5	1.771618e-02	1	5.100000e-02	1.987669e-02	1
148	FOXD4	forkhead box D4	1320	12	0	0	2	0	0	0	2	2	1	2.915406e-01	1.000000e-02	9.454000e-01	1.993481e-02	1
149	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	3678	12	0	0	2	0	0	0	2	2	2	1.015060e-01	1	1.730000e-02	2.004052e-02	1
150	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	2477	66	0	0	3	0	0	0	3	3	3	1.167221e-02	1	1.870000e-01	2.015444e-02	1
151	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	2656	17	0	0	3	0	0	1	4	3	4	7.427956e-02	1	2.500000e-02	2.069118e-02	1
152	C2orf71	chromosome 2 open reading frame 71	3871	7	0	0	3	0	0	0	3	3	3	1.849681e-01	1	1.220000e-02	2.104980e-02	1
153	CCDC83	coiled-coil domain containing 83	1379	45	0	0	2	0	0	0	2	2	2	6.244459e-02	1	5.000000e-02	2.113502e-02	1
154	FPGS	folylpolyglutamate synthase	1822	9	0	0	1	0	1	0	2	2	2	3.140533e-03	1	9.920000e-01	2.124056e-02	1
155	ZNF692	zinc finger protein 692	1619	12	0	0	0	1	0	0	1	1	1	2.144753e-02	NaN	NaN	2.144753e-02	1
156	CD109	CD109 molecule	4466	7	0	0	2	1	0	1	4	3	4	3.196043e-03	1	8.210000e-01	2.156000e-02	1
157	PLSCR1	phospholipid scramblase 1	989	42	0	0	0	1	0	0	1	1	1	2.184290e-02	NaN	NaN	2.184290e-02	1
158	TRPM8	transient receptor potential cation channel, subfamily M, member 8	3415	23	0	0	3	0	0	0	3	3	3	3.279401e-03	1	7.310000e-01	2.203789e-02	1
159	C2orf67	chromosome 2 open reading frame 67	3020	52	0	0	3	0	0	0	3	3	3	3.304587e-03	1	9.920000e-01	2.218185e-02	1
160	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	26	0	1	4	1	0	0	5	5	5	2.719459e-02	1	7.500000e-02	2.225696e-02	1
161	ZNF79	zinc finger protein 79	1513	48	0	0	0	1	0	0	1	1	1	2.240834e-02	NaN	NaN	2.240834e-02	1
162	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	2690	12	0	1	1	1	0	0	2	2	2	8.327605e-03	1	3.090000e-01	2.242784e-02	1
163	ZNF167	zinc finger protein 167	2303	20	0	0	1	1	0	0	2	2	2	9.045121e-03	1	2.780000e-01	2.252519e-02	1
164	ORC5L	origin recognition complex, subunit 5-like (yeast)	1456	3	0	0	0	0	0	1	1	1	1	2.275826e-02	NaN	NaN	2.275826e-02	1
165	ACTL6B	actin-like 6B	1333	61	0	0	1	0	1	1	3	3	3	3.434858e-03	1	9.890000e-01	2.292349e-02	1
166	SLCO5A1	solute carrier organic anion transporter family, member 5A1	2579	31	0	0	2	0	1	0	3	3	3	3.450594e-03	1	5.400000e-01	2.301273e-02	1
167	TAC3	tachykinin 3 (neuromedin K, neurokinin beta)	389	42	0	0	1	0	1	0	2	2	2	3.462596e-03	1	1.490000e-01	2.308076e-02	1
168	CTSZ	cathepsin Z	932	29	0	0	0	0	1	0	1	1	1	2.309206e-02	NaN	NaN	2.309206e-02	1
169	MRPL50	mitochondrial ribosomal protein L50	635	5	0	0	0	1	0	0	1	1	1	2.321924e-02	NaN	NaN	2.321924e-02	1
170	ITGA9	integrin, alpha 9	3218	32	0	0	3	0	0	0	3	3	3	1.965977e-01	1.800000e-02	6.560000e-01	2.351144e-02	1
171	HOXB6	homeobox B6	688	105	0	0	3	0	0	0	3	3	3	3.647216e-03	1	4.480000e-01	2.412193e-02	1
172	DSC1	desmocollin 1	2787	25	0	0	1	1	0	0	2	2	2	3.671887e-03	1	8.290000e-01	2.426034e-02	1
173	PUS7L	pseudouridylate synthase 7 homolog (S. cerevisiae)-like	2138	20	0	1	2	0	0	0	2	2	2	7.538125e-02	1	4.500000e-02	2.438248e-02	1
174	MED13L	mediator complex subunit 13-like	6755	1	0	0	0	1	0	0	1	1	1	2.463779e-02	NaN	NaN	2.463779e-02	1
175	GPRC5B	G protein-coupled receptor, family C, group 5, member B	1223	9	0	0	0	0	0	1	1	1	1	2.465577e-02	NaN	NaN	2.465577e-02	1
176	PITRM1	pitrilysin metallopeptidase 1	3220	80	0	0	2	1	0	0	3	3	3	1.240367e-02	1	2.540000e-01	2.474392e-02	1
177	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	520	20	0	0	0	1	0	0	1	1	1	2.491059e-02	NaN	NaN	2.491059e-02	1
178	TEX19	testis expressed 19	495	5	0	0	1	0	0	1	2	2	2	3.879773e-03	1	6.060000e-01	2.542019e-02	1
179	HFE2	hemochromatosis type 2 (juvenile)	1293	21	0	0	3	0	0	0	3	3	3	1.043600e-02	1	3.510000e-01	2.543362e-02	1
180	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	979	53	0	0	0	0	1	0	1	1	1	2.573243e-02	NaN	NaN	2.573243e-02	1
181	SPATA13	spermatogenesis associated 13	3878	20	0	0	1	1	0	0	2	2	2	3.985240e-03	1	3.520000e-01	2.600432e-02	1
